2015-07-16 21:24:32,580 |main                 |ContainerLoader               |I| [Startup] Loading containers from /home/gildas/Outils/Elpi/framework/base/config/ofbiz-containers.xml for loaders {install}
2015-07-16 21:24:32,865 |main                 |ContainerLoader               |I| Loading container: component-container
2015-07-16 21:24:32,884 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/framework]
2015-07-16 21:24:32,934 |main                 |ComponentContainer            |I| Loading component : [base]
2015-07-16 21:24:32,970 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2015-07-16 21:24:33,004 |main                 |ComponentContainer            |I| Loading component : [sql]
2015-07-16 21:24:33,034 |main                 |ComponentContainer            |I| Loading component : [entity]
2015-07-16 21:24:33,067 |main                 |ComponentContainer            |I| Loading component : [security]
2015-07-16 21:24:33,095 |main                 |ComponentContainer            |I| Loading component : [datafile]
2015-07-16 21:24:33,131 |main                 |ComponentContainer            |I| Loading component : [minilang]
2015-07-16 21:24:33,179 |main                 |ComponentContainer            |I| Loading component : [common]
2015-07-16 21:24:33,221 |main                 |ComponentContainer            |I| Loading component : [service]
2015-07-16 21:24:33,293 |main                 |ComponentContainer            |I| Loading component : [catalina]
2015-07-16 21:24:33,316 |main                 |ComponentContainer            |I| Loading component : [entityext]
2015-07-16 21:24:33,334 |main                 |ComponentContainer            |I| Loading component : [bi]
2015-07-16 21:24:33,352 |main                 |ComponentContainer            |I| Loading component : [webapp]
2015-07-16 21:24:33,367 |main                 |ComponentContainer            |I| Loading component : [widget]
2015-07-16 21:24:33,386 |main                 |ComponentContainer            |I| Loading component : [testtools]
2015-07-16 21:24:33,416 |main                 |ComponentContainer            |I| Loading component : [webtools]
2015-07-16 21:24:33,438 |main                 |ComponentContainer            |I| Loading component : [images]
2015-07-16 21:24:33,438 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/themes]
2015-07-16 21:24:33,459 |main                 |ComponentContainer            |I| Loading component : [easyofbiztheme]
2015-07-16 21:24:33,481 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2015-07-16 21:24:33,503 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2015-07-16 21:24:33,503 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/applications]
2015-07-16 21:24:33,537 |main                 |ComponentContainer            |I| Loading component : [party]
