2015-07-17 01:06:59,078 |-0.0.0.0-8443-exec-1 |ServerHitBin                  |I| Visit delegatorName=default, ServerHitBin delegatorName=default
2015-07-17 01:06:59,098 |-0.0.0.0-8443-exec-1 |ControlServlet                |T| [[[main(Domain:https://localhost)] Request Done- total:2.675,since last([main(Domain:http...):2.675]]
2015-07-17 01:08:17,142 |FBiz-AdminPortThread |ContainerLoader               |I| Shutting down containers
2015-07-17 01:08:17,143 |FBiz-AdminPortThread |ContainerLoader               |I| Stopping container catalina-container
2015-07-17 01:08:17,301 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: sale-order
2015-07-17 01:08:17,301 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: sale-order
2015-07-17 01:08:17,315 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: elpi
2015-07-17 01:08:17,315 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: elpi
2015-07-17 01:08:17,329 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: frontend
2015-07-17 01:08:17,329 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: frontend
2015-07-17 01:08:17,338 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: facility
2015-07-17 01:08:17,338 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: facility
2015-07-17 01:08:17,347 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: accounting
2015-07-17 01:08:17,347 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: accounting
2015-07-17 01:08:17,354 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: setup
2015-07-17 01:08:17,354 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: setup
2015-07-17 01:08:17,364 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: manufacturing
2015-07-17 01:08:17,364 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: manufacturing
2015-07-17 01:08:17,371 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: association
2015-07-17 01:08:17,371 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: association
2015-07-17 01:08:17,378 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: bi
2015-07-17 01:08:17,378 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: bi
2015-07-17 01:08:17,384 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: workeffort
2015-07-17 01:08:17,384 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: workeffort
2015-07-17 01:08:17,390 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: easyofbiz
2015-07-17 01:08:17,390 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: easyofbiz
2015-07-17 01:08:17,396 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: catalog
2015-07-17 01:08:17,396 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: catalog
2015-07-17 01:08:17,403 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: ecommerce
2015-07-17 01:08:17,403 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: ecommerce
2015-07-17 01:08:17,404 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: ecommerce
2015-07-17 01:08:17,404 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: ecommerce
2015-07-17 01:08:17,413 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: sfa
2015-07-17 01:08:17,413 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: sfa
2015-07-17 01:08:17,427 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: ar
2015-07-17 01:08:17,427 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: ar
2015-07-17 01:08:17,442 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: marketing
2015-07-17 01:08:17,442 |0.0.0.0-startStop-1  |ServiceDispatcher             |I| De-Registering dispatcher: marketing
2015-07-17 01:08:17,449 |0.0.0.0-startStop-1  |ServiceContainer              |I| Removing from cache dispatcher: partymgr
