2015-07-19 09:28:33,572 |main                 |ContainerLoader               |I| [Startup] Loading containers from /home/gildas/Outils/Elpi/framework/base/config/ofbiz-containers.xml for loaders {main, rmi}
2015-07-19 09:28:33,820 |main                 |ContainerLoader               |I| Loading container: component-container
2015-07-19 09:28:33,839 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/framework]
2015-07-19 09:28:33,897 |main                 |ComponentContainer            |I| Loading component : [base]
2015-07-19 09:28:33,940 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2015-07-19 09:28:33,964 |main                 |ComponentContainer            |I| Loading component : [sql]
2015-07-19 09:28:33,990 |main                 |ComponentContainer            |I| Loading component : [entity]
2015-07-19 09:28:34,021 |main                 |ComponentContainer            |I| Loading component : [security]
2015-07-19 09:28:34,059 |main                 |ComponentContainer            |I| Loading component : [datafile]
2015-07-19 09:28:34,084 |main                 |ComponentContainer            |I| Loading component : [minilang]
2015-07-19 09:28:34,118 |main                 |ComponentContainer            |I| Loading component : [common]
2015-07-19 09:28:34,143 |main                 |ComponentContainer            |I| Loading component : [service]
2015-07-19 09:28:34,206 |main                 |ComponentContainer            |I| Loading component : [catalina]
2015-07-19 09:28:34,224 |main                 |ComponentContainer            |I| Loading component : [entityext]
2015-07-19 09:28:34,241 |main                 |ComponentContainer            |I| Loading component : [bi]
2015-07-19 09:28:34,257 |main                 |ComponentContainer            |I| Loading component : [webapp]
2015-07-19 09:28:34,273 |main                 |ComponentContainer            |I| Loading component : [widget]
2015-07-19 09:28:34,290 |main                 |ComponentContainer            |I| Loading component : [testtools]
2015-07-19 09:28:34,305 |main                 |ComponentContainer            |I| Loading component : [webtools]
2015-07-19 09:28:34,320 |main                 |ComponentContainer            |I| Loading component : [images]
2015-07-19 09:28:34,320 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/themes]
2015-07-19 09:28:34,334 |main                 |ComponentContainer            |I| Loading component : [easyofbiztheme]
2015-07-19 09:28:34,348 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2015-07-19 09:28:34,365 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2015-07-19 09:28:34,365 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/applications]
2015-07-19 09:28:34,390 |main                 |ComponentContainer            |I| Loading component : [party]
2015-07-19 09:28:34,404 |main                 |ComponentContainer            |I| Loading component : [securityext]
2015-07-19 09:28:34,426 |main                 |ComponentContainer            |I| Loading component : [content]
2015-07-19 09:28:34,443 |main                 |ComponentContainer            |I| Loading component : [workeffort]
2015-07-19 09:28:34,466 |main                 |ComponentContainer            |I| Loading component : [product]
2015-07-19 09:28:34,483 |main                 |ComponentContainer            |I| Loading component : [manufacturing]
2015-07-19 09:28:34,510 |main                 |ComponentContainer            |I| Loading component : [accounting]
2015-07-19 09:28:34,524 |main                 |ComponentContainer            |I| Loading component : [humanres]
2015-07-19 09:28:34,543 |main                 |ComponentContainer            |I| Loading component : [order]
