2015-08-05 00:36:25,428 |main                 |ContainerLoader               |I| [Startup] Loading containers from /home/gildas/Outils/Elpi/framework/base/config/ofbiz-containers.xml for loaders {install}
2015-08-05 00:36:25,833 |main                 |ContainerLoader               |I| Loading container: component-container
2015-08-05 00:36:25,861 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/framework]
2015-08-05 00:36:25,950 |main                 |ComponentContainer            |I| Loading component : [base]
2015-08-05 00:36:26,001 |main                 |ComponentContainer            |I| Loading component : [geronimo]
2015-08-05 00:36:26,043 |main                 |ComponentContainer            |I| Loading component : [sql]
2015-08-05 00:36:26,072 |main                 |ComponentContainer            |I| Loading component : [entity]
2015-08-05 00:36:26,125 |main                 |ComponentContainer            |I| Loading component : [security]
2015-08-05 00:36:26,181 |main                 |ComponentContainer            |I| Loading component : [datafile]
2015-08-05 00:36:26,210 |main                 |ComponentContainer            |I| Loading component : [minilang]
2015-08-05 00:36:26,266 |main                 |ComponentContainer            |I| Loading component : [common]
2015-08-05 00:36:26,305 |main                 |ComponentContainer            |I| Loading component : [service]
2015-08-05 00:36:26,378 |main                 |ComponentContainer            |I| Loading component : [catalina]
2015-08-05 00:36:26,421 |main                 |ComponentContainer            |I| Loading component : [entityext]
2015-08-05 00:36:26,442 |main                 |ComponentContainer            |I| Loading component : [bi]
2015-08-05 00:36:26,469 |main                 |ComponentContainer            |I| Loading component : [webapp]
2015-08-05 00:36:26,494 |main                 |ComponentContainer            |I| Loading component : [widget]
2015-08-05 00:36:26,521 |main                 |ComponentContainer            |I| Loading component : [testtools]
2015-08-05 00:36:26,569 |main                 |ComponentContainer            |I| Loading component : [webtools]
2015-08-05 00:36:26,601 |main                 |ComponentContainer            |I| Loading component : [images]
2015-08-05 00:36:26,601 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/themes]
2015-08-05 00:36:26,620 |main                 |ComponentContainer            |I| Loading component : [easyofbiztheme]
2015-08-05 00:36:26,643 |main                 |ComponentContainer            |I| Loading component : [flatgrey]
2015-08-05 00:36:26,659 |main                 |ComponentContainer            |I| Loading component : [tomahawk]
2015-08-05 00:36:26,659 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/applications]
2015-08-05 00:36:26,679 |main                 |ComponentContainer            |I| Loading component : [party]
2015-08-05 00:36:26,698 |main                 |ComponentContainer            |I| Loading component : [securityext]
2015-08-05 00:36:26,742 |main                 |ComponentContainer            |I| Loading component : [content]
2015-08-05 00:36:26,776 |main                 |ComponentContainer            |I| Loading component : [workeffort]
2015-08-05 00:36:26,809 |main                 |ComponentContainer            |I| Loading component : [product]
2015-08-05 00:36:26,845 |main                 |ComponentContainer            |I| Loading component : [manufacturing]
2015-08-05 00:36:26,886 |main                 |ComponentContainer            |I| Loading component : [accounting]
2015-08-05 00:36:26,905 |main                 |ComponentContainer            |I| Loading component : [humanres]
2015-08-05 00:36:26,926 |main                 |ComponentContainer            |I| Loading component : [order]
2015-08-05 00:36:26,952 |main                 |ComponentContainer            |I| Loading component : [marketing]
2015-08-05 00:36:26,970 |main                 |ComponentContainer            |I| Loading component : [commonext]
2015-08-05 00:36:26,978 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/specialpurpose]
2015-08-05 00:36:27,004 |main                 |ComponentContainer            |I| Loading component : [ecommerce]
2015-08-05 00:36:27,005 |main                 |ComponentContainer            |I| Auto-Loading component directory : [/home/gildas/Outils/Elpi/hot-deploy]
2015-08-05 00:36:27,024 |main                 |ComponentContainer            |I| Loading component : [association]
2015-08-05 00:36:27,059 |main                 |ComponentContainer            |I| Loading component : [easyofbiz]
2015-08-05 00:36:27,077 |main                 |ComponentContainer            |I| Loading component : [elpi]
2015-08-05 00:36:27,098 |main                 |ComponentContainer            |I| Loading component : [frontend]
2015-08-05 00:36:27,105 |main                 |ComponentContainer            |I| All components loaded
2015-08-05 00:36:27,105 |main                 |ContainerLoader               |I| Loaded container: component-container
2015-08-05 00:36:27,119 |main                 |ContainerLoader               |I| Loading component's container: classloader-container
2015-08-05 00:36:27,342 |main                 |ClassLoaderContainer          |I| CachedClassLoader created
2015-08-05 00:36:27,342 |main                 |ContainerLoader               |I| Loaded component's container: classloader-container
2015-08-05 00:36:27,343 |main                 |ContainerLoader               |I| Loading component's container: service-container
2015-08-05 00:36:27,350 |main                 |ContainerLoader               |I| Loaded component's container: service-container
2015-08-05 00:36:27,351 |main                 |ContainerLoader               |I| Loading component's container: dataload-container
2015-08-05 00:36:27,374 |main                 |EntityDataLoadContainer       |I| Install Argument - readers = seed
2015-08-05 00:36:27,374 |main                 |ContainerLoader               |I| Loaded component's container: dataload-container
2015-08-05 00:36:27,376 |main                 |ContainerLoader               |I| [Startup] Starting containers...
2015-08-05 00:36:27,376 |main                 |ContainerLoader               |I| Starting container component-container
2015-08-05 00:36:27,376 |main                 |ContainerLoader               |I| Started container component-container
2015-08-05 00:36:27,376 |main                 |ContainerLoader               |I| Starting container classloader-container
2015-08-05 00:36:27,376 |main                 |ContainerLoader               |I| Started container classloader-container
2015-08-05 00:36:27,376 |main                 |ContainerLoader               |I| Starting container service-container
2015-08-05 00:36:27,376 |main                 |ContainerLoader               |I| Started container service-container
2015-08-05 00:36:27,376 |main                 |ContainerLoader               |I| Starting container dataload-container
2015-08-05 00:36:27,381 |main                 |DelegatorFactoryImpl          |I| Creating new delegator [default] (main)
2015-08-05 00:36:29,208 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOrdered
2015-08-05 00:36:29,208 |main                 |ModelViewEntity               |W| [OrderItemQuantityReportGroupByItem]: Conversion for complex-alias needs to be implemented for cache and in-memory eval stuff to work correctly, will not work for alias: quantityOpen
